sku;arima_order;sarima_order;sarima_seasonal_order;sarima_PDQ_todos_zeros;aic_arima;aic_sarima;previsoes_arima_sarima_identicas;max_abs_diff_previsao_arima_sarima;rmse_entre_vetores_previsao_arima_sarima;teste_constante;cv_teste;range_teste
7359;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;473.17533503416126;473.17533503416126;True;0.0;0.0;True;0.0;0.0
791658;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;404.6300309302874;404.6300309302874;True;0.0;0.0;True;0.0;0.0
MK417;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;801.9888091982356;801.9888091982356;True;0.0;0.0;True;0.0;0.0
MK379;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-237.79227944707932;-237.79227944707932;True;0.0;0.0;False;17.97987380570191;1.0
2863;(1, 1, 1);(1, 1, 1);(0, 0, 0, 30);True;2840.741130406014;2840.741130406014;True;0.0;0.0;False;43.892464285393515;4.0
791937;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;297.7442698520608;297.7442698520608;True;0.0;0.0;True;0.0;0.0
7394;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;990.8184626772547;990.8184626772547;True;0.0;0.0;True;0.0;0.0
2803;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;426.2427194296036;426.2427194296036;True;0.0;0.0;True;0.0;0.0
791677;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
MK383-1;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;686.1798434189043;686.1798434189043;True;0.0;0.0;True;0.0;0.0
792530;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;527.4597752965838;527.4597752965838;True;0.0;0.0;True;0.0;0.0
792504;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1119.3169122561367;1119.3169122561367;True;0.0;0.0;True;0.0;0.0
MK308;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;533.1284805094667;533.1284805094667;True;0.0;0.0;True;0.0;0.0
792413;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;923.4388118515585;923.4388118515585;True;0.0;0.0;True;0.0;0.0
791934;(0, 2, 1);(0, 2, 1);(0, 0, 0, 30);True;1412.4728191195409;1412.4728191195409;True;0.0;0.0;True;0.0;0.0
791829;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;839.0912194778623;839.0912194778623;True;0.0;0.0;True;0.0;0.0
MK451;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789231;-266.8314732789231;True;0.0;0.0;True;0.0;0.0
MK434;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
MK165;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
MK413;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
811075;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1579.9303478465783;1579.9303478465783;True;0.0;0.0;True;0.0;0.0
MK442;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
MK161;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789231;-266.8314732789231;True;0.0;0.0;True;0.0;0.0
MK336;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789231;-266.8314732789231;True;0.0;0.0;True;0.0;0.0
MK264;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;601.2979509337491;601.2979509337491;True;0.0;0.0;True;0.0;0.0
10778;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;147.50229916698626;147.50229916698626;True;0.0;0.0;True;0.0;0.0
792417;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2105.5316168152413;2105.5316168152413;True;0.0;0.0;True;0.0;0.0
MK430;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-210.4133992319661;-210.4133992319661;True;0.0;0.0;True;0.0;0.0
792466;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;615.7412562182984;615.7412562182984;True;0.0;0.0;False;4.961440270396174;1.0
991;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;897.8177317600444;897.8177317600444;True;0.0;0.0;True;0.0;0.0
MK414;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2459.961957437801;2459.961957437801;True;0.0;0.0;False;12.645185973240903;8.0
2922;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1367.305847418128;1367.305847418128;True;0.0;0.0;False;1.9616608121324413;1.0
790738;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;147.50229916698635;147.50229916698635;True;0.0;0.0;True;0.0;0.0
MK426;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;792.2461004486745;792.2461004486745;True;0.0;0.0;True;0.0;0.0
MK412;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1658.0936093016912;1658.0936093016912;True;0.0;0.0;True;0.0;0.0
MK427;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;918.4230592151249;918.4230592151249;True;0.0;0.0;True;0.0;0.0
792506;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1122.6203736254276;1122.6203736254276;True;0.0;0.0;False;4.1748967648061255;3.0
MK436;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;761.7693921221329;761.7693921221329;True;0.0;0.0;False;9.032681790457293;2.0
790876;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;808.3755704846985;808.3755704846985;True;0.0;0.0;True;0.0;0.0
2175;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;798.7632077833814;798.7632077833814;True;0.0;0.0;True;0.0;0.0
